Data,Header,LogDistance,LogTime,LogLatitude,LogLongitude,LogOrigin,LogLatitude2,LogLongitude2,LogOrigin2,LogValidity,LogBottomDepth,SampleChannelDepthUpper,SampleChannelDepthLower,SamplePingAxisInterval,SamplePingAxisIntervalType,SamplePingAxisIntervalUnit,SampleSvThreshold,InstrumentID,CalibrationID,DataAcquisitionID,DataProcessingID,SamplePingAxisIntervalOrigin,DataSaCategory,EchoTypeID,DataType,DataUnit,DataValue,CruiseLocalID
Data,Record,0.6,2021-07-08T06:02,58.715645,-2.891491,end,,,,V,62.728657,12,62.728657,0.6,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,1.6,2021-07-08T06:08,58.71508,-2.859703,end,,,,V,59.04336,12,59.04336,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,2.6,2021-07-08T06:14,58.7148,-2.8277464,end,,,,V,69.03912,12,69.03912,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,3.6,2021-07-08T06:19,58.714874,-2.795927,end,,,,V,72.50285,12,72.50285,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,4.6,2021-07-08T06:25,58.715256,-2.7640142,end,,,,V,70.04988,12,70.04988,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,5.6,2021-07-08T06:30,58.7157,-2.7322013,end,,,,V,62.657936,12,62.657936,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,6.6,2021-07-08T06:36,58.715607,-2.700256,end,,,,V,73.566025,12,73.566025,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,7.6,2021-07-08T06:42,58.71567,-2.6682436,end,,,,V,73.19295,12,73.19295,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,8.6,2021-07-08T06:48,58.715824,-2.6364083,end,,,,V,69.83545,12,69.83545,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,9.6,2021-07-08T06:53,58.715828,-2.6045647,end,,,,V,68.00904,12,68.00904,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,10.6,2021-07-08T06:59,58.71567,-2.5726814,end,,,,V,67.82357,12,67.82357,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,11.6,2021-07-08T07:05,58.71537,-2.540744,end,,,,V,71.0347,12,71.0347,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
Data,Record,12.6,2021-07-08T07:10,58.715237,-2.5088882,end,,,,V,73.23661,12,73.23661,1,distance,nmi,-70,I1,C1,DA1,DP1,end,HER,,C,m2nmi-2,0,0921S
