Haul,Header,CruiseLocalID,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulHydrographicStationID,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance,HaulStratum
Haul,Record,0921S,PEL,301,S19/301,2021-07-09T07:36,56,V,58.965,0.371,58.965,0.251,,75,,155,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,302,S19/302,2021-07-09T11:30,31,V,58.964,-0.073,58.961,-0.031,,93,,121,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,BOT,303,S19/303,2021-07-09T18:09,18,V,58.965,-1.329,58.966,-1.296,,114,,114,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,304,S19/304,2021-07-10T07:27,56,V,59.214,-1.597,59.214,-1.713,,72,,98,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,305,S19/305,2021-07-10T10:27,40,V,59.213,-1.299,59.214,-1.402,,110,,112,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,306,S19/306,2021-07-10T12:55,22,V,59.214,-0.988,59.216,-1.043,,105,,134,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,307,S19/307,2021-07-11T10:23,9,V,59.465,0.337,59.465,0.357,,135,,138,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,308,S19/308,2021-07-11T13:51,42,V,59.467,-0.459,59.465,-0.367,,125,,129.5,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,309,S19/309,2021-07-11T17:23,36,V,59.467,-0.805,59.464,-0.723,,80,,122,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,310,S19/310,2021-07-12T05:51,21,V,59.659,-1.398,59.664,-1.451,,83,,96,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,311,S19/311,2021-07-12T08:29,41,V,59.657,-1.055,59.657,-1.134,,115,,124,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,312,S19/312,2021-07-12T13:35,40,V,59.657,0.157,59.656,0.064,,134,,135,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,313,S19/313,2021-07-12T17:00,17,V,59.657,0.634,59.658,0.542,,113,,128,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,314,S19/314,2021-07-13T06:07,9,V,59.908,0.711,59.908,0.727,,116,,133,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,315,S19/315,2021-07-13T09:03,21,V,59.907,0.263,59.908,0.221,,127,,127,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,316,S19/316,2021-07-15T04:48,15,V,60.156,0.752,60.156,0.718,,139,,153,,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,317,S19/317,2021-07-15T16:33,19,V,60.406,0.642,60.406,0.681,,121,,136,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,318,S19/318,2021-07-15T20:03,46,V,60.407,-0.077,60.407,0.017,,110,,124,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,319,S19/319,2021-07-16T07:53,67,V,60.657,0.329,60.657,0.164,,130,,145,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,320,S19/320,2021-07-16T12:42,34,V,60.657,1.082,60.659,1.017,,131,,146,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,321,S19/321,2021-07-17T06:59,20,V,60.905,-0.194,60.907,-0.241,,134,,161,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,322,S19/322,2021-07-17T19:32,18,V,61.157,1.547,61.157,1.51,,132,,145,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,323,S19/323,2021-07-19T16:46,38,V,60.582,-2.455,60.615,-2.497,,132.7,,132.7,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,PEL,325,S19/325,2021-07-21T08:00,29,V,60.077,-4.49,60.076,-4.411,,140,,179.3,,14,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,BOT,327,S19/327,2021-07-22T08:35,19,V,59.577,-4.788,59.574,-4.752,,132.5,,132.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,BOT,328,S19/328,2021-07-22T12:11,32,V,59.577,-5.661,59.578,-5.599,,110.2,,110.2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,BOT,329,S19/329,2021-07-23T19:33,17,V,58.828,-5.129,58.826,-5.091,,86.4,,86.4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,BOT,330,S19/330,2021-07-24T04:23,31,V,58.827,-6.507,58.822,-6.446,,132,,132,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,BOT,331,S19/331,2021-07-24T08:33,29,V,58.827,-7.441,58.826,-7.38,,111,,111,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,0921S,BOT,332,S19/332,2021-07-24T13:18,49,V,59.075,-6.731,59.077,-6.832,,151,,151,,5,,,,,,,,,,,,,,,,,,,,,,,,,,
