Haul,Header,CruiseLocalID,HaulGear,HaulNumber,HaulStationName,HaulStartTime,HaulDuration,HaulValidity,HaulStartLatitude,HaulStartLongitude,HaulStopLatitude,HaulStopLongitude,HaulStatisticalRectangle,HaulMinTrawlDepth,HaulMaxTrawlDepth,HaulBottomDepth,HaulDistance,HaulNetopening,HaulCodendMesh,HaulSweepLength,HaulGearExceptions,HaulDoorType,HaulWarpLength,HaulWarpDiameter,HaulWarpDensity,HaulDoorSurface,HaulDoorWeight,HaulDoorSpread,HaulWingSpread,HaulBuoyancy,HaulKiteArea,HaulGroundRopeWeight,HaulRigging,HaulTickler,HaulHydrographicStationID,HaulTowDirection,HaulSpeedGround,HaulSpeedWater,HaulWindDirection,HaulWindSpeed,HaulSwellDirection,HaulSwellHeight,HaulLogDistance,HaulStratum
Haul,Record,578-1019-2015208,BOT,301,24110,2015-06-28T14:47:35,16,V,57.1384,6.2783,,,,65,66,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,310,24119,2015-06-29T17:49:57,17,V,57.2187,1.4519,,,,0,94.4,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,313,24122,2015-06-30T06:15:13,8,V,57.409,4.2299,,,,70,73,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,316,24125,2015-06-30T19:41:50,15,V,57.5742,6.1545,,,,140,145,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,330,24139,2015-07-03T03:01:20,16,V,58.1793,3.3992,,,,78,80,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,331,24140,2015-07-03T06:35:22,15,V,58.2163,2.6629,,,,69,71,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,337,24146,2015-07-04T11:21:52,15,V,58.6675,3.6291,,,,163,165,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,338,24147,2015-07-04T16:14:10,30,V,58.6854,2.5242,,,,104,105,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,359,24168,2015-07-07T16:59:48,22,V,59.9288,3.1219,,,,133,138,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,363,24172,2015-07-09T23:23:57,22,V,60.2018,3.233,,,,192,196,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,365,24174,2015-07-10T06:45:03,20,V,60.4071,2.1885,,,,112,120,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,366,24175,2015-07-10T09:02:54,16,V,60.3907,2.5858,,,,82,85,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,375,24184,2015-07-11T09:57:19,32,V,60.6375,2.5668,,,,111,112,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,394,24203,2015-07-17T06:35:35,14,V,59.2872,1.8257,,,,0,116.9,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,395,24204,2015-07-17T08:47:48,14,V,59.0797,1.8879,,,,112,113,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,398,24207,2015-07-17T20:44:48,16,V,60.2442,1.3642,,,,126,127,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,416,24225,2015-07-20T01:35:29,15,V,60.8935,0.8943,,,,140,141,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,420,24229,2015-07-20T17:15:06,31,V,59.7282,0.6907,,,,0,123.3,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,421,24230,2015-07-20T21:14:05,17,V,59.4061,0.8985,,,,121,122,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,422,24231,2015-07-20T23:50:07,15,V,59.115,0.8968,,,,118,120,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,425,24234,2015-07-21T07:17:52,15,V,59.3255,0.5225,,,,129,130,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,442,24251,2015-07-24T03:23:55,14,V,59.5788,-0.2092,,,,134,136,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,444,24253,2015-07-24T07:14:00,16,V,59.2808,-0.2813,,,,136,137,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,446,24255,2015-07-24T13:39:55,29,V,58.7609,0.425,,,,119,125,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,447,24256,2015-07-24T17:40:13,15,V,58.4238,0.7495,,,,145,146,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,448,24257,2015-07-25T03:54:17,15,V,57.9402,0.7563,,,,143,144,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,449,24258,2015-07-25T06:25:35,16,V,57.8488,1.2973,,,,90,92,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,450,24259,2015-07-25T09:53:15,16,V,58.3079,1.6179,,,,105,107,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,451,24260,2015-07-25T12:57:59,15,V,58.7577,1.6194,,,,104,106,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,BOT,452,24261,2015-07-25T16:55:58,15,V,59.2865,1.8002,,,,0,117,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,PEL,297,24106,2015-06-27T09:51:42,29,V,56.6665,4.6613,,,,0,40,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,PEL,298,24107,2015-06-27T21:31:54,29,V,56.9093,2.2537,,,,0,0,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,PEL,299,24108,2015-06-28T01:20:02,30,V,56.9163,3.1885,,,,0,40,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,PEL,300,24109,2015-06-28T08:45:06,25,V,56.9127,5.1163,,,,0,0,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,PEL,302,24111,2015-06-28T17:23:29,23,V,57.1598,5.765,,,,0,1,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,PEL,304,24113,2015-06-28T22:44:43,30,V,57.164,4.9291,,,,0,40,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
Haul,Record,578-1019-2015208,PEL,305,24114,2015-06-29T01:22:47,29,V,57.1619,4.4543,,,,0,40,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,
